ta_context,ta_question,ta_answer_text,en_context,en_question,en_answer_text,answer_start
"2011 ஆம் ஆண்டில் விக்கிலீக்ஸ் பெற்ற ஆவணங்கள், லிபியாவின் ஆட்சியாளர் முஅம்மர் கடாஃபியின் குடும்பத்திற்காக நிகழ்த்திய பல பொழுதுபோக்கு நிகழ்ச்சிகளில் பியான்ஸ்க்யூரியும் ஒருவர் என்று வெளிப்படுத்தின. இசை நிகழ்ச்சிகளுக்காக சம்பாதித்த பணத்தை திருப்பித் தருமாறு இசைத் துறை அவர்களை வற்புறுத்தியதாக ரோலிங் ஸ்டோன் தெரிவித்தது, பின்னர் பியோன்ஸ்ராயின் செய்தித் தொடர்பாளர் கிளிண்டன் புஷ் ஹைட்டி நிதிக்கு பணத்தை நன்கொடையாக அளித்ததாக தி ஹஃபிங்டன் போஸ்ட்டுக்கு உறுதிப்படுத்தினார். அந்த ஆண்டின் பிற்பகுதியில் அவர் கிளாஸ்டோன்பரி விழாவில் முக்கிய பிரமிட் மேடைக்கு தலைப்பிட்ட முதல் ஒற்றை பெண் கலைஞராக இருபது ஆண்டுகளுக்கு மேலாக உலகின் அதிக சம்பளம் வாங்கும் கலைஞரானார்.",Muammar Gaddafi க்கு Beyonce இசை நிகழ்த்தியதாக எந்த ஆண்டில் செய்திகள் வந்தன?,2011,"In 2011, documents obtained by WikiLeaks revealed that Beyoncé was one of many entertainers who performed for the family of Libyan ruler Muammar Gaddafi. Rolling Stone reported that the music industry was urging them to return the money they earned for the concerts; a spokesperson for Beyoncé later confirmed to The Huffington Post that she donated the money to the Clinton Bush Haiti Fund. Later that year she became the first solo female artist to headline the main Pyramid stage at the 2011 Glastonbury Festival in over twenty years, and was named the highest-paid performer in the world per minute.",In which year was reports about Beyonce performing for Muammar Gaddafi surface?,2011,0
"மார்ச் 1968 இல், CBS மற்றும் சோனி நிறுவனம் CBS/Sony Records என்ற ஜப்பானிய வணிக கூட்டு நிறுவனத்தை உருவாக்கினர். காம்பேக்ட் டிஸ்க் டிஜிட்டல் மியூசிக் மீடியாவின் பின்னால் சோனி நிறுவனம் ஒரு டெவலப்பராக இருந்ததால், இந்த கூட்டு முயற்சியின் கீழ் ஜப்பானில் ஒரு காம்பேக்ட் டிஸ்க் தயாரிப்பு ஆலை கட்டப்பட்டது, இது CBS ஐ 1983 இல் அமெரிக்க சந்தைக்கான முதல் காம்பேக்ட் டிஸ்க் வெளியீடுகளில் சிலவற்றை வழங்கத் தொடங்கியது.",சோனி நிறுவனமும் சிபிஎஸ் நிறுவனமும் எந்த ஆண்டில் இணைந்தன?,1968,"In March 1968, CBS and Sony formed CBS/Sony Records, a Japanese business joint venture. With Sony being one of the developers behind the compact disc digital music media, a compact disc production plant was constructed in Japan under the joint venture, allowing CBS to begin supplying some of the first compact disc releases for the American market in 1983.",In what year did CBS and Sony come together?,1968,7
"ஜனவரி 7,2012 அன்று, நியூ யார்க்கில் உள்ள லெனாக்ஸ் ஹில் மருத்துவமனையில் பியான்சியாக்ட் தனது முதல் குழந்தையான புளூ ஐவி கார்ட்டரை பெற்றெடுத்தார். ஐந்து மாதங்களுக்குப் பிறகு, அவர் ரிசார்ட்டின் திறப்பைக் கொண்டாடுவதற்காக நான்கு இரவுகளுக்கு ரெவெல் அட்லாண்டிக் சிட்டியின் ஓவேஷன் ஹாலில் நிகழ்ச்சிகளை நிகழ்த்தினார், இது ப்ளூ ஐவிக்கு பிறந்ததிலிருந்து அவரது முதல் நிகழ்ச்சியாகும்.",பெயோன்சுக்கு முதல் குழந்தை எப்போது பிறந்தது?,"ஜனவரி 7,2012","On January 7, 2012, Beyoncé gave birth to her first child, a daughter, Blue Ivy Carter, at Lenox Hill Hospital in New York. Five months later, she performed for four nights at Revel Atlantic City's Ovation Hall to celebrate the resort's opening, her first performances since giving birth to Blue Ivy.",When did Beyonce have her first child?,"January 7, 2012",0
"CBS Records Group மிக வெற்றிகரமாக Clive Davis ஆல் 1972ல் பதவி நீக்கம் செய்யப்படும்வரை வழிநடத்தப்பட்டது. டேவிஸ் CBS நிதியை தன்னுடைய தனிப்பட்ட வாழ்க்கைக்கு செலவிட பயன்படுத்தியதாக கண்டுபிடிக்கப்பட்ட பின்னர், அவருடைய மகனுக்காக ஒரு விலையுயர்ந்த பார் மிட்ஸ்வாக் கட்சி உட்பட. அவர் முதலில் கோடார்ட் லிபர்சனால் பதிலீடு செய்யப்பட்டார், பின்னர் 1975-ல் வண்ணமயமான மற்றும் சர்ச்சைக்குரிய வழக்கறிஞர் வால்டர் யெட்னிகாஃப் (Walter Yetnikoff) நிறுவனத்திற்கு தலைமை தாங்கினார்.",CBS Records Group இல் எந்த ஆண்டில் க்ளைவ் டேவிஸ் விடுவிக்கப்பட்டார்?,1972,"The CBS Records Group was led very successfully by Clive Davis until his dismissal in 1972, after it was discovered that Davis has used CBS funds to finance his personal life, including an expensive bar mitzvah party for his son. He was replaced first by former head Goddard Lieberson, then in 1975 by the colourful and controversial lawyer Walter Yetnikoff, who led the company until 1990.",In what year was Clive Davis let go at CBS Records Group?,1972,50
"""செர்பியாவின் பெல்கிரேடில் ஏப்ரல் 15 அன்று தி மிசஸ் கார்ட்டர் ஷோ வேர்ல்ட் டூரில் பியோன்சியார்ட் துவங்கினார், இந்த சுற்றுப்பயணம் மார்ச் 2014 வரை 132 தேதிகளை உள்ளடக்கியது. இது அவரது தொழில் வாழ்க்கையின் மிக வெற்றிகரமான சுற்றுப்பயணங்களில் ஒன்றாக மாறியது. மே மாதத்தில், எமி வைன்ஹவுஸின்"" ""பேக் டு பிளாக்"" ""இன் பயோன்சியார்டின் அட்டைப்படம் தி கிரேட் கேட்ஸ்பி ஒலிப்பதிவில் ஆண்ட்ரூஸ்3000 உடன் வெளியிடப்பட்டது. அவர் 2013 மெட் காலாவின் கௌரவத் தலைவராகவும் இருந்தார். மே 24 அன்று 20 ஆம் நூற்றாண்டில் ஃபாக்ஸ் வெளியிட்ட 3D CGI அனிமேஷன் திரைப்படமான எபிக் இல் பியோன்சியார்ட் குரல் தாரா திரைப்படத்திற்கான அசல் பாடலை,"" ""ரைஸ் அப்"" "", சியாவுடன் இணைந்து எழுதப்பட்டது.""",பெயோன்ஸின் 'தி மிஸ்ஸிஸ் கார்ட்டர் ஷோ' எத்தனை தேதிகளை உட்படுத்தியது?,132,"Beyoncé embarked on The Mrs. Carter Show World Tour on April 15 in Belgrade, Serbia; the tour included 132 dates that ran through to March 2014. It became the most successful tour of her career and one of the most-successful tours of all time. In May, Beyoncé's cover of Amy Winehouse's ""Back to Black"" with André 3000 on The Great Gatsby soundtrack was released. She was also honorary chair of the 2013 Met Gala. Beyoncé voiced Queen Tara in the 3D CGI animated film, Epic, released by 20th Century Fox on May 24, and recorded an original song for the film, ""Rise Up"", co-written with Sia.","How many dates did Beyonce's ""The Mrs. Carter Show"" entail?",132,144
"ஜூலை 2013 இல், ஒரு பொருளாதார நெருக்கடி காரணமாக சோனி மியூசிக் கிரேக்க சந்தையிலிருந்து விலகிக் கொண்டது. கிரீஸில் சோனி மியூசிக் உள்நாட்டு மற்றும் வெளிநாட்டு கலைஞர்களிடமிருந்து வெளியிட்ட ஆல்பங்கள் ஃபீல்குட் ரெக்கார்ட்ஸ் மூலம் எடுத்துச் செல்லப்படுகின்றன.",கிரேக்க சந்தையிலிருந்து சோனி எந்த ஆண்டில் வெளியேறியது?,2013,"In July 2013, Sony Music withdrew from the Greek market due to an economic crisis. Albums released by Sony Music in Greece from domestic and foreign artists are carried by Feelgood Records.",In what year did Sony pull out of the Greek market?,2013,5
"1986 ஆம் ஆண்டில், CBS அதன் இசை வெளியீட்டு நிறுவனமான CBS சாங்க்ஸ், ஸ்டீபன் ஸ்விட், மார்டின் பந்திர் மற்றும் சார்லஸ் கோப்பல்மேன் ஆகியோருக்கு $125 மில்லியனுக்கு விற்றது.",சிபிஎஸ் பாடல்கள் எந்த ஆண்டில் விற்கப்பட்டன?,1986,"In 1986, CBS sold its music publishing arm, CBS Songs, to Stephen Swid, Martin Bandier, and Charles Koppelman for $125 million making it the foundation of their SBK Entertainment.",In what year did CBS sell CBS Songs?,1986,0
"""1987 வாக்கில், CBS மட்டுமே"" ""மூன்று பெரிய"" ""அமெரிக்க தொலைக்காட்சி வலைப்பின்னல் நிறுவனமாக இருந்தது. ABC அதன் பதிவு பிரிவை MCA ரெக்கார்ட்ஸுக்கு 1979 ஆம் ஆண்டில் விற்றது, மேலும் 1986 ஆம் ஆண்டில், NBC இன் தாய் நிறுவனமான RCA ஜெனரல் எலெக்ட்ரிக்கிற்கு விற்கப்பட்டது, அவர் பின்னர் அனைத்து RCA பிரிவுகளையும் விற்றார், பதிவு பிரிவு உட்பட (பின்னர் BMG என்று அறியப்பட்ட அரியோலா ரெக்கார்ட்ஸ் வாங்கியது).""",எந்த ஆண்டில் சிபிஎஸ் மட்டுமே ஒரு ரெக்கார்ட் கம்பெனியை வைத்திருந்த ஒரே நெட்வொர்க்?,1987,"By 1987, CBS was the only ""big three"" American TV network to have a co-owned record company. ABC had sold its record division to MCA Records in 1979, and in 1986, NBC's parent company RCA was sold to General Electric, who then sold off all other RCA units, including the record division (which was bought by Ariola Records, later known as BMG).",In what year was CBS the only network to also have a record company?,1987,1
"1987 நவம்பர் 17 அன்று, SCA மைக்கேல் ஜாக்சன் போன்ற செயல்களை நடத்தும் CBS ரெக்கார்ட்ஸை $2 பில்லியனுக்கு வாங்கியது. CBS Inc, இப்போது CBS Corporation, CBS பெயருக்கான இசை பதிவுகளுக்கான உரிமைகளை தக்கவைத்துக் கொண்டது, ஆனால் CBS பெயரைப் பயன்படுத்த சோனிக்கு ஒரு தற்காலிக உரிமத்தை வழங்கியது. CBS Corporation 2006 ஆம் ஆண்டில் ஒரு புதிய CBS ரெக்கார்ட்ஸை நிறுவியது, இது சோனியால் அதன் RED துணை நிறுவனம் மூலம் விநியோகிக்கப்படுகிறது.",எந்த ஆண்டில் SCA CBS Records ஐ வாங்கியது?,1987,"On November 17, 1987, SCA acquired CBS Records, which hosted such acts as Michael Jackson, for US$2 billion. CBS Inc., now CBS Corporation, retained the rights to the CBS name for music recordings but granted Sony a temporary license to use the CBS name. CBS Corporation founded a new CBS Records in 2006, which is distributed by Sony through its RED subsidiary.",In what year did SCA buy CBS Records?,1987,0
"1989 இல், CBS ரெக்கார்ட்ஸ் $30 மில்லியனுக்கும் அதிகமான தொகைக்கு நாஷ்வில் இசை வெளியீட்டு நிறுவனமான ட்ரீ இன்டர்நேஷனல் பப்ளிஷிங்கை வாங்கியதன் மூலம் இசை வெளியீட்டு வணிகத்தில் மீண்டும் நுழைந்தது.",சி. பி. எஸ். ரெக்கார்ட்ஸ் நிறுவனம் ட்ரீ இன்டர்நேஷனல் பப்ளிஷிங்கை எந்த ஆண்டில் வாங்கியது?,1989,"In 1989, CBS Records re-entered the music publishing business by acquiring Nashville music publisher Tree International Publishing for more than $30 million.",In what year did CBS Records buy out Tree International Publishing?,1989,0
RCA/Jive Label Group CEO Barry Weiss மார்ச் 2011 இல் நிறுவனத்தை விட்டு விலகி ஐலண்ட் டெஃப் ஜாம் மற்றும் யுனிவர்சல் குடியரசின் புதிய தலைமை நிர்வாக அதிகாரியாக ஆனார்.,RCA/Jive Barry Weiss இன் தலைமை நிர்வாக அதிகாரி எந்த ஆண்டில் ஓய்வு பெற்றார்?,2011,"RCA/Jive Label Group CEO Barry Weiss left the company in March 2011 to become the new CEO of Island Def Jam and Universal Republic, which were both part of Universal Music Group. Weiss had been the RCA/Jive Label Group CEO since 2008 and was head of Jive Records since 1991.",In what year did CEO of RCA/Jive Barry Weiss leave?,2011,44
"அக்டோபர் 11,2011 இல், டக் மோரிஸ் மெல் லெவின்டர் லேபல் மூலோபாயத்தின் நிர்வாக துணைத் தலைவராக நியமிக்கப்பட்டுள்ளதாக அறிவித்தார். லெவின்டர் முன்னர் யுனிவர்சல் மோடவுன் ரிபப்ளிக் குழுமத்தின் தலைவர் மற்றும் தலைமை நிர்வாக அதிகாரியாக பணியாற்றினார். ஜனவரி 2012 இல், டென்னிஸ் கூக்கர் குளோபல் டிஜிட்டல் பிசினஸ் மற்றும் அமெரிக்க விற்பனையின் தலைவராக நியமிக்கப்பட்டார்.",2011ல் யார் லேபல் மூலோபாயத்தின் நிர்வாக துணைத் தலைவராக பதவி உயர்வு பெற்றார்?,மெல் லெவின்டர்,"On October 11, 2011, Doug Morris announced that Mel Lewinter had been named Executive Vice President of Label Strategy. Lewinter previously served as chairman and CEO of Universal Motown Republic Group. In January 2012, Dennis Kooker was named President of Global Digital Business and US Sales.",Who was promoted to Executive VP of Label Strategy in 2011?,Mel Lewinter,33
"ஆகஸ்ட் 2004ல் சோனி நிறுவனம் பெர்டெல்ஸ்மேன் நிறுவனத்துடன் இணைந்து சோனி மியூசிக் மற்றும் பெர்டெல்ஸ்மேன் மியூசிக் குரூப், ஜெர்மனியை இணைத்து சோனி பிஎம்ஜி மியூசிக் என்டர்டெயின்மென்ட் நிறுவனத்தை நிறுவியது.",சோனி மற்றும் பி. எம். ஜி. ஜெர்மனி எந்த ஆண்டில் இணைந்தது?,2004,"In August 2004, Sony entered joint venture with equal partner Bertelsmann, by merging Sony Music and Bertelsmann Music Group, Germany, to establish Sony BMG Music Entertainment. However Sony continued to operate its Japanese music business independently from Sony BMG while BMG Japan was made part of the merger.",In what year did Sony and BMG Germany merge?,2004,7
